Month,0,0.25,0.5,1,2,3,4,5,7,10,Zero_Crossing_Depth
2009-04,-9.150972222222222,-7.9959444444444445,-7.082472222222222,-6.703833333333334,-6.833638888888889,-6.829305555555555,-6.795833333333333,-6.473194444444444,-6.215638888888889,-5.698694444444444,
2009-05,-8.03779569892473,-8.049408602150537,-7.934139784946237,-7.7753494623655905,-7.847123655913979,-7.5888440860215045,-7.345672043010753,-7.096532258064515,-6.676639784946237,-6.0619892473118275,
2009-06,-5.179638888888889,-5.916027777777778,-6.61775,-7.556777777777778,-7.68775,-7.605833333333333,-7.461611111111111,-7.226083333333333,-6.9237222222222226,-6.308000000000001,
2009-07,2.230681198910082,0.855256064690027,-0.7291553133514987,-2.0683333333333334,-5.881370967741935,-6.741881720430108,-6.918978494623656,-6.862204301075268,-6.9181451612903215,-6.4571774193548395,0.38494854880226875
2009-08,3.9674418604651165,2.7464735099337747,0.5478619528619528,-1.4419769357495882,-3.888632619439868,-5.1588303130148265,-5.636902800658978,-5.847907742998352,-6.454250411861614,-6.413080724876441,0.6376649024193705
2009-09,-3.100867132867133,-2.8209859154929577,-1.9322364672364674,-1.7164861111111114,-3.274277777777778,-4.401763888888889,-4.911874999999999,-5.1678194444444445,-5.948597222222222,-6.220416666666666,
2009-10,-5.474838709677419,-4.39252688172043,-3.663602150537635,-3.1907930107526887,-3.504583333333333,-4.277204301075269,-4.708037634408602,-4.854193548387097,-5.548938172043011,-5.956881720430108,
2009-11,-4.618444444444444,-4.286555555555556,-4.154027777777778,-4.066666666666666,-4.187444444444444,-4.665180555555556,-4.961861111111111,-4.976361111111111,-5.430097222222222,-5.758055555555556,
2009-12,-5.8859139784946235,-5.4057123655913975,-5.112809139784946,-4.838467741935483,-4.785147849462366,-5.029327956989247,-5.216075268817204,-5.154274193548387,-5.457379032258064,-5.6678360215053765,
2010-01,-7.622419354838709,-6.852594086021505,-6.256801075268816,-5.773252688172043,-5.396559139784946,-5.421075268817204,-5.5075672043010755,-5.371680107526881,-5.545309139784946,-5.630483870967742,
2010-02,-8.204136904761905,-7.39498511904762,-6.811458333333333,-6.375922619047619,-6.013199404761904,-5.875625,-5.868005952380952,-5.658988095238095,-5.686473214285714,-5.6701636904761905,
2010-03,-10.273508064516129,-9.12108870967742,-8.143951612903225,-7.414274193548388,-6.675618279569893,-6.338118279569891,-6.2437499999999995,-5.966693548387097,-5.877567204301075,-5.751021505376344,
2010-04,-9.947555555555555,-9.205194444444444,-8.617222222222221,-8.129833333333332,-7.469541666666666,-6.970111111111111,-6.761097222222222,-6.398888888888889,-6.160222222222222,-5.862166666666667,
2010-05,-8.483051075268818,-8.328790322580645,-8.201975806451612,-8.00766129032258,-7.687459677419355,-7.306733870967742,-7.108776881720431,-6.745860215053764,-6.444220430107527,-6.0300806451612905,
2010-06,-4.603555555555555,-4.991638888888889,-5.507944444444444,-6.581680555555555,-7.286361111111112,-7.212902777777778,-7.136,-6.858750000000001,-6.633,-6.192819444444444,
2010-07,0.8375235531628532,-0.1647683923705722,-1.119018817204301,-3.087715053763441,-5.485819892473118,-6.197862903225807,-6.455389784946236,-6.445954301075269,-6.590793010752688,-6.303145161290322,0.20890209606471458
2010-08,2.350958164642375,0.5782721088435374,-0.8908064516129032,-2.2370698924731185,-4.0791263440860215,-5.000967741935484,-5.4356586021505375,-5.6063306451612895,-6.17643817204301,-6.2424059139784935,0.34840728134101095
2010-09,-2.1594002789400277,-2.1547826086956525,-1.983231622746186,-2.2072260748959778,-3.375755894590846,-4.330568654646324,-4.7968377253814145,-4.976851595006934,-5.708585298196949,-6.039902912621359,
2010-10,-2.9706693989071042,-1.9135887096774193,-1.9352553763440863,-2.348467741935484,-3.2609139784946235,-4.055806451612903,-4.498642473118279,-4.6359005376344085,-5.350537634408602,-5.7995833333333335,
2010-11,-6.426222222222222,-5.132694444444445,-4.70175,-3.9449305555555556,-3.5633888888888885,-4.17298611111111,-4.548583333333333,-4.588736111111111,-5.146111111111111,-5.598416666666666,
2010-12,-8.417043010752687,-7.2229435483870965,-6.8076075268817196,-6.029314516129031,-4.921317204301075,-4.954663978494624,-5.1338978494623655,-4.9759811827956995,-5.219005376344086,-5.495752688172043,
2011-01,-9.425295698924732,-8.367943548387096,-8.01,-7.385618279569892,-6.415618279569893,-6.004287634408602,-5.9054032258064515,-5.582889784946237,-5.514502688172043,-5.519045698924732,
2011-02,-10.152633928571428,-9.153616071428571,-8.805580357142858,-8.226011904761904,-7.294806547619047,-6.752232142857143,-6.52875,-6.1230505952380945,-5.866056547619047,-5.638526785714285,
2011-03,-9.444220430107526,-8.865376344086021,-8.664986559139784,-8.335336021505377,-7.7178897849462365,-7.243145161290322,-7.000712365591397,-6.572123655913979,-6.217486559139784,-5.827405913978494,
2011-04,-9.511194444444444,-9.062541666666666,-8.892583333333333,-8.601152777777777,-8.000166666666667,-7.5438472222222215,-7.3101666666666665,-6.888416666666666,-6.5160277777777775,-6.032819444444445,
2011-05,-7.151599462365591,-7.369946236559139,-7.4252553763440865,-7.598091397849462,-7.6809677419354845,-7.550819892473117,-7.432177419354838,-7.068548387096774,-6.75502688172043,-6.224677419354839,
2011-06,-2.9954305555555556,-3.4427916666666665,-4.2480416666666665,-5.780652777777777,-6.985305555555556,-7.192222222222222,-7.2205972222222226,-6.979,-6.812833333333333,-6.3700833333333335,
2011-07,2.195013440860215,-0.4361360544217687,-1.4448252688172043,-3.0903897849462365,-5.1658064516129025,-6.0253763440860215,-6.3687903225806455,-6.3983736559139786,-6.6597849462365595,-6.426854838709677,0.20856031221298701
